,Predicates,Motif (freq),Motif (trans)
0,on,0.4423591032035609,0.441067177414849
1,has,0.713724488856994,0.711925707571948
2,in,0.3770474790901313,0.37331555636457125
3,of,0.6584923876793509,0.6619516627107963
4,wearing,0.9295772982134587,0.9314667218363527
5,near,0.2741142840406659,0.27228229972618095
6,with,0.22647748826994107,0.21743286413097734
7,above,0.21795867275344885,0.21892260310170758
8,holding,0.6138764978488905,0.6087795793163892
9,behind,0.6156418935168129,0.6142682078524091
10,under,0.46714931943939575,0.47520093703299815
11,sitting on,0.4581432911706349,0.4537521701388889
12,wears,0.018087855297157625,0.018456995201181246
13,standing on,0.3682940729483283,0.36848591346596665
14,in front of,0.28567941821079895,0.27568240685395495
15,attached to,0.12250954627133874,0.09307146600778675
16,at,0.5843239485575251,0.5859460085737458
17,hanging from,0.36434262948207174,0.35870457563684655
18,over,0.24958052699988184,0.2514415691835047
19,for,0.1855435206869633,0.18154274004683837
20,riding,0.8653118353284466,0.8510762862091765
21,carrying,0.6069213732004429,0.6204318936877076
22,eating,0.6350993377483444,0.6410596026490067
23,walking on,0.673086088769735,0.5865058087578194
24,playing,0.056818181818181816,0.07196969696969696
25,covering,0.49138248847926264,0.49138248847926264
26,laying on,0.19084084084084085,0.329021879021879
27,along,0.3639143730886851,0.3386850152905199
28,watching,0.4814213564213564,0.4804112554112554
29,and,0.17011834319526628,0.14497041420118342
30,between,0.1273148148148148,0.12037037037037036
31,belonging to,0.09692776261247599,0.09989384288747347
32,painted on,0.3897783251231527,0.4506704980842912
33,against,0.13709677419354838,0.1693548387096774
34,looking at,0.26070950468540827,0.22858099062918338
35,from,0.15305164319248826,0.15492957746478872
36,parked on,0.8948970037453183,0.9117509363295879
37,to,0.4426229508196721,0.46311475409836067
38,made of,0.25,0.1875
39,covered in,0.5663095238095238,0.5901190476190475
40,mounted on,0.10833333333333334,0.11666666666666665
41,says,0.16666666666666666,0.6666666666666666
42,part of,0.0,0.006172839506172839
43,across,0.20634920634920634,0.2619047619047619
44,flying in,0.7763157894736842,0.793859649122807
45,using,0.3820833333333333,0.36208333333333337
46,on back of,0.24704491725768318,0.2387706855791962
47,lying on,0.35787172011661805,0.23226433430515062
48,growing on,0.37643678160919547,0.3606321839080459
49,walking in,0.176056338028169,0.2676056338028169
